iter	Passed	Remaining
0	98	34244
1	182	31807
2	267	30938
3	354	30636
4	444	30676
5	528	30273
6	616	30207
7	714	30541
8	806	30555
9	908	30894
10	1006	31027
11	1092	30766
12	1172	30396
13	1255	30131
14	1341	29955
15	1425	29751
16	1509	29569
17	1592	29369
18	1678	29245
19	1759	29033
20	1842	28863
21	1927	28730
22	2014	28644
23	2101	28542
24	2182	28366
25	2265	28226
26	2347	28079
27	2431	27961
28	2524	27940
29	2633	28090
30	2780	28609
31	2866	28486
32	2946	28306
33	3027	28140
34	3109	27984
35	3188	27815
36	3269	27659
37	3352	27526
38	3442	27448
39	3529	27353
40	3617	27259
41	3694	27093
42	3778	26979
43	3862	26861
44	3943	26730
45	4031	26643
46	4114	26524
47	4198	26416
48	4280	26294
49	4364	26185
50	4447	26076
51	4531	25967
52	4610	25835
53	4689	25707
54	4770	25589
55	4854	25483
56	4932	25357
57	5013	25241
58	5093	25123
59	5174	25010
60	5253	24887
61	5332	24769
62	5411	24651
63	5488	24524
64	5568	24415
65	5645	24292
66	5731	24210
67	5819	24134
68	5906	24053
69	5985	23940
70	6071	23857
71	6148	23739
72	6225	23622
73	6307	23523
74	6388	23423
75	6471	23332
76	6556	23245
77	6643	23168
78	6720	23052
79	6799	22948
80	6877	22838
81	6963	22757
82	7048	22672
83	7129	22577
84	7210	22478
85	7295	22395
86	7373	22289
87	7455	22197
88	7543	22123
89	7624	22025
90	7707	21937
91	7791	21849
92	7871	21752
93	7951	21654
94	8031	21557
95	8110	21458
96	8186	21352
97	8258	21236
98	8336	21136
99	8412	21030
100	8489	20928
101	8564	20822
102	8639	20718
103	8720	20626
104	8796	20524
105	8879	20439
106	8958	20344
107	9034	20244
108	9108	20139
109	9185	20041
110	9263	19946
111	9339	19845
112	9423	19764
113	9500	19668
114	9580	19576
115	9658	19483
116	9741	19400
117	9816	19299
118	9887	19192
119	9962	19094
120	10043	19008
121	10120	18913
122	10198	18820
123	10281	18738
124	10354	18638
125	10433	18548
126	10510	18456
127	10583	18355
128	10666	18272
129	10738	18173
130	10821	18091
131	10893	17990
132	10973	17904
133	11054	17819
134	11130	17726
135	11204	17630
136	11284	17545
137	11358	17449
138	11425	17343
139	11505	17257
140	11585	17173
141	11666	17088
142	11736	16989
143	11814	16901
144	11889	16809
145	11965	16718
146	12044	16632
147	12132	16559
148	12216	16480
149	12286	16381
150	12359	16288
151	12435	16198
152	12519	16120
153	12591	16026
154	12669	15938
155	12747	15852
156	12824	15765
157	12905	15682
158	12984	15597
159	13061	15510
160	13138	15423
161	13219	15341
162	13292	15249
163	13370	15163
164	13439	15068
165	13514	14979
166	13589	14891
167	13673	14812
168	13753	14729
169	13834	14648
170	13912	14563
171	13991	14479
172	14068	14393
173	14152	14315
174	14225	14225
175	14300	14137
176	14381	14056
177	14450	13962
178	14532	13882
179	14602	13790
180	14676	13703
181	14756	13621
182	14836	13539
183	14916	13457
184	15001	13379
185	15082	13298
186	15161	13215
187	15246	13137
188	15325	13055
189	15406	12973
190	15484	12890
191	15562	12806
192	15644	12726
193	15727	12646
194	15799	12558
195	15876	12474
196	15952	12389
197	16026	12303
198	16104	12219
199	16181	12135
200	16256	12050
201	16336	11969
202	16419	11890
203	16502	11810
204	16574	11723
205	16646	11636
206	16728	11556
207	16807	11474
208	16888	11393
209	16968	11312
210	17039	11225
211	17121	11144
212	17197	11061
213	17280	10981
214	17354	10896
215	17432	10814
216	17513	10734
217	17597	10655
218	17678	10574
219	17761	10495
220	17838	10412
221	17926	10335
222	18004	10253
223	18085	10173
224	18164	10091
225	18243	10009
226	18320	9927
227	18401	9846
228	18484	9766
229	18568	9688
230	18643	9604
231	18718	9520
232	18800	9440
233	18875	9357
234	18948	9272
235	19031	9193
236	19107	9110
237	19184	9027
238	19276	8952
239	19348	8868
240	19516	8826
241	19592	8743
242	19669	8660
243	19742	8576
244	19821	8494
245	19894	8410
246	19971	8328
247	20048	8245
248	20128	8164
249	20207	8083
250	20290	8003
251	20373	7923
252	20452	7841
253	20532	7760
254	20609	7678
255	20687	7596
256	20764	7513
257	20846	7433
258	20921	7350
259	20999	7269
260	21078	7187
261	21163	7108
262	21246	7028
263	21328	6947
264	21400	6864
265	21484	6784
266	21553	6700
267	21635	6619
268	21717	6539
269	21798	6458
270	21882	6379
271	21960	6297
272	22032	6214
273	22112	6133
274	22185	6050
275	22266	5969
276	22329	5884
277	22414	5805
278	22500	5725
279	22578	5644
280	22658	5563
281	22740	5483
282	22822	5403
283	22897	5321
284	22976	5240
285	23066	5161
286	23146	5081
287	23216	4998
288	23296	4917
289	23381	4837
290	23457	4755
291	23529	4673
292	23611	4593
293	23685	4511
294	23762	4430
295	23840	4349
296	23915	4267
297	23991	4186
298	24067	4105
299	24151	4025
300	24223	3943
301	24303	3862
302	24390	3783
303	24469	3702
304	24555	3622
305	24632	3541
306	24718	3462
307	24772	3378
308	24859	3298
309	24941	3218
310	25016	3137
311	25088	3055
312	25164	2974
313	25247	2894
314	25332	2814
315	25415	2734
316	25493	2653
317	25576	2573
318	25648	2492
319	25727	2411
320	25805	2331
321	25886	2250
322	25964	2170
323	26049	2090
324	26130	2010
325	26207	1929
326	26284	1848
327	26364	1768
328	26440	1687
329	26520	1607
330	26604	1527
331	26685	1446
332	26766	1366
333	26856	1286
334	26938	1206
335	27012	1125
336	27092	1045
337	27168	964
338	27245	884
339	27319	803
340	27405	723
341	27483	642
342	27566	562
343	27642	482
344	27716	401
345	27797	321
346	27868	240
347	27951	160
348	28033	80
349	28114	0
